,Filme,Nota 1,Nota 2,Nota 3,Nota 4,Nota 5,Nota 6,Nota 7,Nota 8,Nota 9,Nota 10
0,Planeta dos Macacos: A Guerra,80%,70%,70%,80%,60%,,,,,
1,Alien: Covenant,90%,60%,70%,90%,60%,100%,70%,85%,70%,70%
2,A Origem,90%,80%,60%,90%,70%,70%,60%,,,
3,A Chegada,70%,85%,70%,80%,80%,90%,100%,50%,80%,60%
4,Con Air: A Rota da Fuga,80%,80%,80%,60%,,,,,,
5,007: Contra Spectre,75%,70%,70%,90%,70%,60%,90%,70%,90%,
6,Green Book: O Guia,60%,60%,90%,90%,70%,80%,80%,,,
7,Gravidade,60%,60%,90%,80%,,,,,,
8,A Caçada,70%,80%,90%,70%,80%,90%,90%,80%,100%,
9,Superman: O Filme,90%,100%,60%,70%,,,,,,
10,Gato de Botas 2: O Último Pedido,90%,100%,70%,100%,80%,,,,,
11,Maze Runner: Correr ou Morrer,50%,70%,70%,95%,90%,90%,,,,
12,Triplo X,60%,,,,,,,,,
13,Deadpool 2,60%,90%,80%,90%,60%,90%,100%,70%,80%,
14,RoboCop - O Policial do Futuro,80%,90%,60%,60%,100%,,,,,
15,Missão: Impossível - Acerto de Contas Parte 1,90%,70%,80%,70%,70%,60%,90%,80%,80%,60%
16,Beekeeper: Rede de Vingança,60%,60%,60%,70%,80%,90%,90%,100%,,
17,Mad Max: Estrada da Fúria,70%,70%,70%,60%,90%,100%,70%,90%,70%,60%
18,Coraline e o Mundo Secreto,90%,100%,90%,,,,,,,
19,SPY x FAMILY - CÓDIGO: Branco,70%,,,,,,,,,
20,Morbius,70%,60%,50%,60%,85%,80%,80%,50%,80%,
21,Um Laço de Amor,85%,40%,80%,80%,70%,,,,,
22,Fragmentado,60%,100%,70%,80%,80%,90%,70%,,,
23,Megatubarão 2,85%,50%,75%,40%,,,,,,
24,Um Lugar Silencioso - Parte II,80%,70%,70%,75%,70%,80%,80%,60%,,
