,Filme,Nota 1,Nota 2,Nota 3,Nota 4,Nota 5,Nota 6,Nota 7,Nota 8,Nota 9,Nota 10
0,Madame Teia,50%,80%,70%,70%,70%,80%,70%,70%,,
1,Alienoid,60%,,,,,,,,,
2,Batman,70%,80%,90%,90%,70%,70%,90%,80%,100%,60%
3,Tenet,60%,80%,90%,100%,60%,70%,60%,75%,70%,40%
4,Entrevista com o Demônio,70%,60%,80%,80%,,,,,,
5,Caça-Fantasmas,85%,60%,80%,70%,70%,60%,60%,90%,60%,80%
6,Abigail,70%,60%,65%,,,,,,,
7,Os Bad Boys II,80%,,,,,,,,,
8,Duna,70%,70%,60%,70%,80%,40%,60%,80%,80%,100%
9,Elementos,75%,85%,80%,90%,90%,80%,,,,
10,O Exterminador do Futuro,90%,100%,90%,95%,70%,90%,70%,,,
11,Mulher-Maravilha,90%,70%,60%,60%,80%,80%,70%,80%,70%,70%
12,Thor: Ragnarok,80%,80%,80%,80%,65%,80%,90%,70%,85%,85%
13,The Flash,70%,82%,70%,70%,90%,70%,50%,100%,70%,70%
14,Barbie,70%,90%,80%,70%,70%,80%,50%,85%,70%,70%
15,Matrix,95%,70%,100%,70%,90%,100%,100%,70%,70%,
16,Wish: O Poder dos Desejos,90%,70%,,,,,,,,
17,Alien: O Oitavo Passageiro,80%,70%,100%,80%,70%,90%,70%,70%,100%,
18,Super Mario Bros. O Filme,80%,60%,80%,90%,70%,100%,60%,70%,50%,70%
19,Deadpool,95%,70%,65%,90%,70%,80%,60%,70%,100%,70%
20,Wonka,70%,80%,70%,70%,60%,80%,80%,70%,60%,
21,Coringa,90%,70%,90%,70%,90%,80%,90%,80%,90%,75%
22,As Marvels,70%,60%,50%,75%,60%,90%,70%,60%,70%,
23,Zona de Risco,60%,60%,90%,50%,70%,,,,,
24,Red: Crescer é Uma Fera,90%,80%,80%,90%,90%,80%,60%,80%,70%,70%
