,Filme,Nota 1,Nota 2,Nota 3,Nota 4,Nota 5,Nota 6,Nota 7,Nota 8,Nota 9,Nota 10
0,Os Caça-Fantasmas,80%,90%,70%,85%,,,,,,
1,Napoleão,70%,70%,30%,70%,60%,90%,60%,60%,60%,60%
2,O Cruel Ministério da Guerra,70%,,,,,,,,,
3,Fuga no Século 23,75%,,,,,,,,,
4,O Rei Leão,75%,90%,70%,70%,60%,,,,,
5,Sonic 2: O Filme,70%,70%,80%,60%,80%,90%,70%,80%,,
6,Invocação do Mal,70%,90%,85%,80%,70%,,,,,
7,Até o Último Homem,70%,70%,80%,80%,60%,80%,100%,,,
8,Assassinos da Lua das Flores,80%,80%,70%,80%,85%,85%,80%,80%,80%,85%
9,Invocação do Mal 3: A Ordem do Demônio,60%,70%,60%,70%,,,,,,
10,Shazam!,70%,90%,80%,90%,60%,95%,60%,70%,80%,70%
11,Corra!,90%,70%,100%,70%,70%,70%,100%,90%,70%,90%
12,Jurassic World: Reino Ameaçado,80%,80%,85%,50%,50%,90%,60%,90%,60%,50%
13,Meu Malvado Favorito 2,65%,,,,,,,,,
14,A Guerra do Amanhã,75%,70%,80%,85%,80%,,,,,
15,Mulher-Maravilha 1984,70%,80%,75%,60%,80%,85%,85%,60%,85%,85%
16,Arranha-Céu: Coragem Sem Limite,90%,60%,70%,60%,,,,,,
17,Jogos Mortais X,70%,80%,100%,70%,,,,,,
18,Argylle: O Superespião,80%,70%,50%,90%,50%,70%,70%,75%,,
19,Star Trek: Sem Fronteiras,70%,70%,75%,90%,70%,70%,85%,70%,,
20,O Rei Leão,100%,70%,,,,,,,,
21,O Segredo do Abismo,90%,80%,,,,,,,,
22,Os Bons Companheiros,90%,70%,70%,,,,,,,
23,Besouro Azul,70%,70%,60%,70%,60%,100%,70%,70%,,
24,Meu Amigo Robô,70%,70%,,,,,,,,
