,Filme,Nota 1,Nota 2,Nota 3,Nota 4,Nota 5,Nota 6,Nota 7,Nota 8,Nota 9,Nota 10
0,Divertida Mente 2,80%,90%,60%,85%,80%,70%,,,,
1,Planeta dos Macacos: O Reinado,70%,70%,60%,60%,80%,,,,,
2,Divertida Mente,70%,80%,80%,70%,70%,80%,85%,70%,60%,50%
3,Bad Boys: Até o Fim,70%,,,,,,,,,
4,Amigos Imaginários,80%,70%,70%,85%,,,,,,
5,Godzilla e Kong: O Novo Império,70%,70%,60%,50%,70%,60%,70%,60%,60%,70%
6,Guerra Civil,80%,90%,60%,80%,70%,90%,70%,70%,,
7,Kung Fu Panda 4,60%,60%,85%,80%,60%,,,,,
8,O Tarô da Morte,80%,75%,85%,70%,70%,,,,,
9,O Dublê,80%,80%,70%,75%,85%,75%,,,,
10,Duna: Parte Dois,100%,90%,70%,90%,90%,80%,80%,70%,70%,90%
11,Furiosa: Uma Saga Mad Max,80%,70%,70%,60%,80%,75%,80%,,,
12,Bad Boys Para Sempre,50%,75%,90%,50%,70%,70%,60%,,,
13,A Primeira Profecia,60%,60%,60%,80%,60%,,,,,
14,Garfield - Fora de Casa,60%,75%,70%,70%,,,,,,
15,Patos!,60%,70%,,,,,,,,
16,Godzilla Minus One,80%,80%,60%,70%,70%,80%,90%,70%,70%,70%
17,Imaculada,60%,70%,50%,,,,,,,
18,Assassino por Acaso,80%,70%,90%,60%,,,,,,
19,I Saw the TV Glow,70%,,,,,,,,,
20,Os Bad Boys,80%,70%,70%,90%,,,,,,
21,Ghostbusters: Apocalipse de Gelo,60%,90%,60%,,,,,,,
22,Contra o Mundo,60%,60%,60%,,,,,,,
23,Velozes & Furiosos 10,90%,70%,90%,60%,75%,90%,90%,90%,50%,80%
24,Oppenheimer,80%,70%,90%,70%,70%,80%,80%,90%,100%,90%
