,Filme,Nota 1,Nota 2,Nota 3,Nota 4,Nota 5,Nota 6,Nota 7,Nota 8,Nota 9,Nota 10
0,Homem de Ferro 3,50%,70%,50%,70%,80%,80%,80%,50%,50%,70%
1,Thor: Amor e Trovão,70%,80%,70%,70%,70%,90%,60%,60%,90%,70%
2,Fúria Primitiva,90%,70%,60%,65%,70%,,,,,
3,Harry Potter e o Cálice de Fogo,70%,90%,,,,,,,,
4,Planeta dos Macacos: A Origem,70%,,,,,,,,,
5,A Experiência,70%,80%,50%,,,,,,,
6,Sing 2,90%,,,,,,,,,
7,O Senhor dos Anéis: O Retorno do Rei,100%,80%,100%,100%,85%,70%,80%,,,
8,Creed II,70%,60%,78%,90%,60%,,,,,
9,Lady Bird - A Hora de Voar,80%,80%,100%,70%,90%,100%,60%,70%,,
10,Como Eu Era Antes de Você,70%,,,,,,,,,
11,Anônimo,60%,70%,90%,60%,50%,70%,80%,70%,80%,80%
12,Harry Potter e a Câmara Secreta,90%,80%,70%,,,,,,,
13,Gênio Indomável,80%,90%,70%,90%,80%,,,,,
14,A Chamada,50%,,,,,,,,,
15,A Morte do Demônio: A Ascensão,75%,70%,70%,90%,80%,70%,70%,85%,,
16,Grease: Nos Tempos da Brilhantina,75%,80%,60%,70%,70%,,,,,
17,Harry Potter e as Relíquias da Morte - Parte 2,80%,80%,,,,,,,,
18,Guardiões da Galáxia - Vol. 2,70%,80%,80%,70%,80%,70%,60%,70%,85%,70%
19,Meu Malvado Favorito 3,60%,60%,80%,60%,,,,,,
20,Piratas do Caribe: O Baú da Morte,80%,70%,,,,,,,,
21,Cinquenta Tons de Cinza,65%,70%,50%,,,,,,,
22,A Garota de Miller,100%,,,,,,,,,
23,Chappie,80%,,,,,,,,,
24,Harry Potter e o Enigma do Príncipe,60%,60%,60%,80%,,,,,,
