,Filme,Nota 1,Nota 2,Nota 3,Nota 4,Nota 5,Nota 6,Nota 7,Nota 8,Nota 9,Nota 10
0,A Profecia,70%,70%,70%,,,,,,,
1,A Pequena Sereia,60%,60%,80%,60%,,,,,,
2,Creed III,90%,80%,60%,70%,60%,80%,,,,
3,Titanic,90%,70%,70%,70%,70%,,,,,
4,Monstros S.A.,90%,70%,,,,,,,,
5,O Vingador do Futuro,85%,60%,70%,80%,100%,,,,,
6,Venom: Tempo de Carnificina,70%,70%,70%,90%,60%,70%,50%,70%,60%,60%
7,Conta Comigo,100%,80%,90%,,,,,,,
8,A Freira,90%,80%,60%,70%,60%,70%,90%,,,
9,A Múmia,70%,70%,70%,60%,80%,60%,70%,60%,70%,
10,"As Crônicas de Nárnia: O Leão, a Feiticeira e o Guarda-Roupa",90%,100%,,,,,,,,
11,Piratas do Caribe: A Maldição do Pérola Negra,90%,100%,70%,,,,,,,
12,Guardiões da Galáxia: Vol. 3,90%,90%,90%,80%,70%,,,,,
13,Minions 2: A Origem de Gru,60%,80%,90%,70%,80%,,,,,
14,Pobres Criaturas,90%,80%,70%,100%,90%,60%,60%,90%,90%,80%
15,Pantera Negra: Wakanda para Sempre,70%,70%,60%,70%,70%,80%,70%,85%,70%,50%
16,Jurassic World: Domínio,90%,70%,80%,70%,60%,70%,70%,85%,60%,80%
17,Chinatown,95%,100%,70%,,,,,,,
18,Coração Satânico,70%,,,,,,,,,
19,Shrek 2,80%,,,,,,,,,
20,It: A Coisa,70%,70%,70%,80%,90%,80%,80%,70%,70%,
21,Up: Altas Aventuras,80%,90%,70%,,,,,,,
22,Toy Story: Um Mundo de Aventuras,80%,90%,70%,70%,,,,,,
23,Harry Potter e o Prisioneiro de Azkaban,70%,90%,80%,,,,,,,
24,Forrest Gump: O Contador de Histórias,100%,70%,,,,,,,,
