,Filme,Nota 1,Nota 2,Nota 3,Nota 4,Nota 5,Nota 6,Nota 7,Nota 8,Nota 9,Nota 10
0,Capitã Marvel,90%,70%,80%,60%,85%,50%,70%,100%,70%,50%
1,X: A Marca da Morte,80%,50%,70%,60%,70%,,,,,
2,Interestelar,90%,95%,70%,100%,70%,75%,80%,75%,90%,90%
3,Os Três Mosqueteiros: Milady,70%,,,,,,,,,
4,Logan,70%,80%,80%,80%,90%,70%,70%,70%,70%,70%
5,Aquaman,70%,70%,80%,60%,80%,70%,70%,70%,60%,60%
6,Garfield: O Filme,80%,60%,,,,,,,,
7,John Wick 4: Baba Yaga,80%,80%,90%,60%,80%,100%,100%,80%,80%,90%
8,Pulp Fiction: Tempo de Violência,90%,70%,70%,70%,100%,60%,,,,
9,Homem de Ferro 2,70%,65%,60%,75%,90%,70%,70%,50%,60%,60%
10,Pantera Negra,70%,80%,70%,75%,70%,90%,70%,60%,60%,65%
11,Serenity: A Luta Pelo Amanhã,75%,70%,70%,,,,,,,
12,Donzela,65%,60%,90%,80%,70%,50%,90%,85%,80%,
13,Todos Menos Você,70%,70%,,,,,,,,
14,2001: Uma Odisséia no Espaço,80%,80%,70%,60%,80%,70%,70%,70%,70%,80%
15,Transformers: O Despertar das Feras,90%,70%,60%,60%,100%,70%,60%,,,
16,Guerra nas Estrelas,70%,100%,100%,60%,100%,90%,,,,
17,Rocky: Um Lutador,100%,70%,70%,,,,,,,
18,Homem-Aranha: Através do Aranhaverso,95%,60%,80%,70%,70%,70%,90%,70%,60%,
19,Planeta dos Macacos: O Confronto,80%,70%,70%,,,,,,,
20,Venom,60%,80%,70%,70%,70%,90%,80%,80%,80%,80%
21,Donnie Darko,70%,60%,90%,60%,,,,,,
22,Vingadores: Guerra Infinita,60%,65%,80%,90%,95%,85%,80%,60%,60%,100%
23,Homem-Aranha: Sem Volta Para Casa,70%,90%,100%,80%,90%,100%,100%,100%,80%,50%
24,O Predador,100%,70%,60%,70%,90%,,,,,
